TRAINING RESULTS
==================================================

Final Metrics:
  Final Train Loss:     0.2985
  Final Val Loss:       0.3034
  Final Train IoU:      0.5789
  Final Val IoU:        0.5801
  Final Train Dice:     0.7157
  Final Val Dice:       0.7519
  Final Train Accuracy: 0.8829
  Final Val Accuracy:   0.8786
==================================================

Best Results:
  Best Val IoU:      0.5806 (Epoch 59)
  Best Val Dice:     0.7524 (Epoch 59)
  Best Val Accuracy: 0.8786 (Epoch 60)
  Lowest Val Loss:   0.3034 (Epoch 60)
==================================================

Per-Epoch History:
----------------------------------------------------------------------------------------------------
Epoch    Train Loss   Val Loss     Train IoU    Val IoU      Train Dice   Val Dice     Train Acc    Val Acc     
----------------------------------------------------------------------------------------------------
1        0.5993       0.4736       0.4212       0.3961       0.5529       0.5679       0.8246       0.8295      
2        0.4494       0.4000       0.4615       0.4460       0.5971       0.6262       0.8457       0.8510      
3        0.4198       0.3851       0.4751       0.4619       0.6107       0.6425       0.8523       0.8560      
4        0.3971       0.4301       0.4759       0.4505       0.6123       0.6344       0.8495       0.8467      
5        0.3815       0.3611       0.5007       0.4869       0.6356       0.6665       0.8623       0.8615      
6        0.3693       0.3537       0.5095       0.4967       0.6460       0.6747       0.8645       0.8641      
7        0.3667       0.3925       0.5055       0.4895       0.6423       0.6712       0.8636       0.8611      
8        0.3565       0.3499       0.5162       0.5049       0.6529       0.6837       0.8660       0.8647      
9        0.3519       0.3460       0.5190       0.5094       0.6563       0.6856       0.8677       0.8666      
10       0.3507       0.3460       0.5187       0.5077       0.6555       0.6841       0.8688       0.8665      
11       0.3757       0.3531       0.5123       0.5063       0.6515       0.6864       0.8620       0.8639      
12       0.3617       0.3488       0.5107       0.5035       0.6461       0.6824       0.8655       0.8653      
13       0.3562       0.3438       0.5231       0.5195       0.6610       0.6987       0.8670       0.8672      
14       0.3542       0.3448       0.5159       0.5123       0.6520       0.6873       0.8657       0.8669      
15       0.3490       0.3385       0.5288       0.5259       0.6657       0.7024       0.8695       0.8688      
16       0.3453       0.3344       0.5376       0.5343       0.6747       0.7101       0.8717       0.8705      
17       0.3372       0.3331       0.5364       0.5333       0.6734       0.7090       0.8725       0.8705      
18       0.3374       0.3312       0.5375       0.5306       0.6754       0.7082       0.8716       0.8708      
19       0.3329       0.3289       0.5402       0.5331       0.6771       0.7097       0.8738       0.8716      
20       0.3302       0.3267       0.5427       0.5397       0.6802       0.7166       0.8742       0.8720      
21       0.3259       0.3233       0.5489       0.5447       0.6862       0.7187       0.8758       0.8732      
22       0.3252       0.3223       0.5514       0.5500       0.6887       0.7247       0.8761       0.8736      
23       0.3221       0.3219       0.5533       0.5515       0.6906       0.7263       0.8766       0.8739      
24       0.3213       0.3201       0.5544       0.5556       0.6911       0.7306       0.8768       0.8743      
25       0.3186       0.3189       0.5570       0.5561       0.6959       0.7311       0.8767       0.8745      
26       0.3173       0.3179       0.5580       0.5560       0.6938       0.7304       0.8780       0.8747      
27       0.3150       0.3177       0.5580       0.5579       0.6955       0.7320       0.8784       0.8748      
28       0.3162       0.3169       0.5599       0.5587       0.6986       0.7327       0.8791       0.8751      
29       0.3147       0.3170       0.5592       0.5589       0.6960       0.7329       0.8783       0.8751      
30       0.3158       0.3170       0.5602       0.5586       0.6968       0.7327       0.8797       0.8751      
31       0.3331       0.3251       0.5476       0.5496       0.6863       0.7269       0.8746       0.8729      
32       0.3373       0.3600       0.5265       0.5207       0.6646       0.7035       0.8671       0.8636      
33       0.3431       0.3268       0.5468       0.5417       0.6848       0.7188       0.8748       0.8724      
34       0.3258       0.3219       0.5578       0.5571       0.6973       0.7335       0.8766       0.8736      
35       0.3194       0.3232       0.5552       0.5553       0.6932       0.7298       0.8768       0.8735      
36       0.3302       0.3213       0.5494       0.5524       0.6861       0.7267       0.8760       0.8735      
37       0.3216       0.3203       0.5539       0.5532       0.6902       0.7277       0.8778       0.8742      
38       0.3239       0.3191       0.5596       0.5617       0.6971       0.7359       0.8773       0.8742      
39       0.3267       0.3189       0.5573       0.5603       0.6946       0.7342       0.8768       0.8746      
40       0.3199       0.3191       0.5537       0.5576       0.6899       0.7325       0.8761       0.8740      
41       0.3164       0.3204       0.5634       0.5631       0.7027       0.7383       0.8767       0.8744      
42       0.3193       0.3144       0.5619       0.5628       0.7003       0.7371       0.8784       0.8755      
43       0.3151       0.3137       0.5647       0.5636       0.7016       0.7367       0.8792       0.8760      
44       0.3185       0.3144       0.5670       0.5685       0.7046       0.7423       0.8779       0.8755      
45       0.3141       0.3141       0.5629       0.5628       0.7003       0.7365       0.8792       0.8758      
46       0.3127       0.3120       0.5677       0.5711       0.7065       0.7441       0.8790       0.8765      
47       0.3110       0.3107       0.5720       0.5715       0.7098       0.7443       0.8803       0.8768      
48       0.3120       0.3106       0.5673       0.5713       0.7037       0.7446       0.8799       0.8768      
49       0.3068       0.3106       0.5705       0.5709       0.7094       0.7443       0.8808       0.8767      
50       0.3058       0.3100       0.5700       0.5698       0.7078       0.7431       0.8805       0.8769      
51       0.3043       0.3085       0.5747       0.5742       0.7116       0.7469       0.8813       0.8773      
52       0.3020       0.3076       0.5762       0.5759       0.7136       0.7489       0.8815       0.8775      
53       0.3041       0.3084       0.5723       0.5724       0.7084       0.7446       0.8816       0.8771      
54       0.3027       0.3060       0.5767       0.5778       0.7135       0.7499       0.8821       0.8780      
55       0.3031       0.3061       0.5779       0.5772       0.7153       0.7497       0.8822       0.8780      
56       0.3010       0.3052       0.5767       0.5775       0.7134       0.7497       0.8827       0.8782      
57       0.3023       0.3048       0.5805       0.5802       0.7179       0.7524       0.8828       0.8783      
58       0.3000       0.3050       0.5788       0.5786       0.7166       0.7509       0.8825       0.8781      
59       0.2985       0.3036       0.5804       0.5806       0.7172       0.7524       0.8829       0.8786      
60       0.2985       0.3034       0.5789       0.5801       0.7157       0.7519       0.8829       0.8786      
